Depth,Height,Column,Block
0,0,0,wotr:processor_block_2
1,0,0,minecraft:brown_mushroom_block
2,0,0,minecraft:packed_mud
3,0,0,minecraft:granite
4,0,0,minecraft:mud_bricks
0,0,1,wotr:processor_block_2_directional_pillar
1,0,1,minecraft:stripped_jungle_log
0,0,2,wotr:processor_block_2_slab
1,0,2,minecraft:mud_brick_slab
2,0,2,minecraft:jungle_slab
3,0,2,minecraft:granite_slab
0,0,3,wotr:processor_block_2_stairs
1,0,3,minecraft:mud_brick_stairs
2,0,3,minecraft:jungle_stairs
0,0,4,wotr:processor_block_2_wall
1,0,4,minecraft:mud_brick_wall
0,0,5,wotr:processor_block_2_button
1,0,5,minecraft:acacia_button
0,0,6,wotr:processor_block_2_pressure_plate
1,0,6,minecraft:acacia_pressure_plate
0,0,7,wotr:processor_block_2_fence
1,0,7,minecraft:acacia_fence
0,0,8,wotr:processor_block_2_fence_gate
1,0,8,minecraft:acacia_fence_gate
0,0,9,wotr:processor_block_2_glass_pane
1,0,9,minecraft:iron_bars
0,0,10,wotr:processor_block_2_glass
1,0,10,minecraft:brown_stained_glass
0,0,11,wotr:processor_block_2_trapdoor
1,0,11,minecraft:oak_trapdoor
2,1,0,minecraft:packed_mud
3,1,0,minecraft:granite
2,2,0,minecraft:packed_mud
