Column,ProcessorType,BlockCounts
0,wotr:processor_block_3,"{""minecraft:cobblestone"": 1, ""minecraft:rooted_dirt"": 2, ""minecraft:dripstone_block"": 2, ""minecraft:cracked_stone_bricks"": 1, ""minecraft:bedrock"": 1}"
1,wotr:processor_block_3_directional_pillar,"{""minecraft:stripped_jungle_log"": 1, ""minecraft:stripped_jungle_wood"": 1, ""minecraft:bedrock"": 1}"
2,wotr:processor_block_3_slab,"{""minecraft:cobblestone_slab"": 1, ""minecraft:bedrock"": 1}"
3,wotr:processor_block_3_stairs,"{""minecraft:cobblestone_stairs"": 1, ""minecraft:bedrock"": 1}"
4,wotr:processor_block_3_wall,"{""minecraft:cobblestone_wall"": 1, ""minecraft:bedrock"": 1}"
5,wotr:processor_block_3_button,"{""minecraft:jungle_button"": 1, ""minecraft:bedrock"": 1}"
6,wotr:processor_block_3_pressure_plate,"{""minecraft:jungle_pressure_plate"": 1, ""minecraft:bedrock"": 1}"
7,wotr:processor_block_3_fence,"{""minecraft:jungle_fence"": 1, ""minecraft:bedrock"": 1}"
8,wotr:processor_block_3_fence_gate,"{""minecraft:jungle_fence_gate"": 1, ""minecraft:bedrock"": 1}"
9,wotr:processor_block_3_glass_pane,"{""minecraft:iron_bars"": 1, ""minecraft:bedrock"": 1}"
10,wotr:processor_block_3_door,"{""minecraft:jungle_door"": 2, ""minecraft:bedrock"": 1, ""minecraft:oak_door"": 1}"
11,wotr:processor_block_3_trapdoor,"{""minecraft:jungle_trapdoor"": 1, ""minecraft:bedrock"": 2}"
