Depth,Height,Column,Block
0,0,0,wotr:processor_block_4
1,0,0,minecraft:cobbled_deepslate
2,0,0,minecraft:tuff
3,0,0,minecraft:deepslate
0,0,1,minecraft:quartz_pillar
1,0,1,minecraft:deepslate
0,0,2,wotr:processor_block_4_slab
1,0,2,minecraft:tuff_slab
0,0,3,wotr:processor_block_4_stairs
1,0,3,minecraft:tuff_stairs
0,0,4,wotr:processor_block_4_wall
1,0,4,minecraft:tuff_wall
0,0,5,wotr:processor_block_4_button
1,0,5,minecraft:warped_button
0,0,6,wotr:processor_block_4_pressure_plate
1,0,6,minecraft:warped_pressure_plate
0,0,7,wotr:processor_block_4_fence
1,0,7,minecraft:warped_fence
0,0,8,wotr:processor_block_4_fence_gate
1,0,8,minecraft:warped_fence_gate
0,0,9,minecraft:iron_bars
1,0,9,minecraft:iron_bars
0,0,10,minecraft:oak_door
1,0,10,minecraft:warped_door
0,0,11,wotr:processor_block_4_trapdoor
1,0,11,minecraft:warped_trapdoor
2,1,0,minecraft:tuff
0,1,10,minecraft:oak_door
1,1,10,minecraft:warped_door
