Depth,Height,Column,Block
0,0,0,wotr:processor_block_5
1,0,0,minecraft:cobbled_deepslate
2,0,0,minecraft:mud
3,0,0,minecraft:muddy_mangrove_roots
4,0,0,minecraft:jungle_wood
5,0,0,minecraft:stripped_spruce_wood
0,0,1,wotr:processor_block_5_directional_pillar
1,0,1,minecraft:jungle_wood
2,0,1,minecraft:muddy_mangrove_roots
0,0,2,wotr:processor_block_5_slab
1,0,2,minecraft:cobbled_deepslate_slab
2,0,2,minecraft:tuff_slab
0,0,3,wotr:processor_block_5_stairs
1,0,3,minecraft:cobbled_deepslate_stairs
2,0,3,minecraft:tuff_stairs
0,0,4,wotr:processor_block_5_wall
1,0,4,minecraft:cobbled_deepslate_wall
2,0,4,minecraft:tuff_wall
0,0,5,wotr:processor_block_5_button
1,0,5,minecraft:dark_oak_button
0,0,6,wotr:processor_block_5_pressure_plate
1,0,6,minecraft:dark_oak_pressure_plate
0,0,7,wotr:processor_block_5_fence
1,0,7,minecraft:dark_oak_fence
0,0,8,wotr:processor_block_5_fence_gate
1,0,8,minecraft:dark_oak_fence_gate
0,0,9,wotr:processor_block_5_glass
1,0,9,minecraft:brown_stained_glass
0,0,10,wotr:processor_block_5_glass_pane
1,0,10,minecraft:iron_bars
0,0,11,wotr:processor_block_5_trapdoor
1,0,11,minecraft:dark_oak_trapdoor
2,1,0,minecraft:mud
3,1,0,minecraft:muddy_mangrove_roots
