Column,ProcessorType,BlockCounts
0,wotr:processor_block_4,"{""minecraft:mossy_cobblestone"": 1, ""minecraft:tuff"": 2, ""minecraft:mossy_stone_bricks"": 1, ""minecraft:deepslate"": 1}"
1,wotr:processor_block_4_directional_pillar,"{""minecraft:deepslate"": 1}"
2,wotr:processor_block_4_slab,"{""minecraft:tuff_slab"": 1}"
3,wotr:processor_block_4_stairs,"{""minecraft:tuff_stairs"": 1, ""minecraft:mossy_cobblestone_stairs"": 1}"
4,wotr:processor_block_4_wall,"{""minecraft:tuff_wall"": 1}"
5,wotr:processor_block_4_button,"{""minecraft:warped_button"": 1}"
6,wotr:processor_block_4_pressure_plate,"{""minecraft:warped_pressure_plate"": 1}"
7,wotr:processor_block_4_fence,"{""minecraft:warped_fence"": 1}"
8,wotr:processor_block_4_fence_gate,"{""minecraft:warped_fence_gate"": 1}"
9,wotr:processor_block_4_glass,"{""minecraft:gray_stained_glass"": 1}"
10,wotr:processor_block_4_glass_pane,"{""minecraft:iron_bars"": 1}"
11,wotr:processor_block_4_trapdoor,"{""minecraft:warped_trapdoor"": 1}"
