Depth,Height,Column,Block
0,0,0,wotr:processor_block_6
1,0,0,minecraft:oak_planks
2,0,0,minecraft:spruce_planks
0,0,1,wotr:processor_block_6_directional_pillar
1,0,1,minecraft:stripped_oak_wood
0,0,2,wotr:processor_block_6_slab
1,0,2,minecraft:oak_slab
2,0,2,minecraft:spruce_slab
0,0,3,wotr:processor_block_6_stairs
1,0,3,minecraft:oak_stairs
2,0,3,minecraft:spruce_stairs
0,0,4,wotr:processor_block_6_wall
1,0,4,minecraft:cobblestone_wall
0,0,5,wotr:processor_block_6_button
1,0,5,minecraft:oak_button
2,0,5,minecraft:spruce_button
0,0,6,wotr:processor_block_6_pressure_plate
1,0,6,minecraft:oak_pressure_plate
2,0,6,minecraft:spruce_pressure_plate
0,0,7,wotr:processor_block_6_fence
1,0,7,minecraft:oak_fence
2,0,7,minecraft:spruce_fence
0,0,8,wotr:processor_block_6_fence_gate
1,0,8,minecraft:oak_fence_gate
0,0,9,wotr:processor_block_6_glass
1,0,9,minecraft:glass
0,0,10,wotr:processor_block_6_glass_pane
1,0,10,minecraft:iron_bars
0,0,11,wotr:processor_block_6_trapdoor
1,0,11,minecraft:oak_trapdoor
2,0,11,minecraft:spruce_trapdoor
